X, Y, T, Action
2.01828, 0.0609951, -1.69286, GoToPosition
2.01349, 0.0321941, -1.65207, TurnToAngle
2.00984, 0.0033076, -1.60963, Turn
2.00746, -0.0259653, -1.52552, GoAhead
2.00729, -0.108237, -1.449, GoAhead
2.01083, -0.137463, -1.44626, TurnToAngle
2.01267, -0.151985, -1.44641, Turn
2.01267, -0.151985, -1.44657, Turn
2.01708, -0.186187, -1.45171, TurnToAngle
2.02171, -0.214234, -1.48932, Turn
2.02765, -0.27118, -1.57224, GoToPosition
2.02877, -0.299972, -1.61313, GoAhead
2.02785, -0.355967, -1.6549, GoToPosition
2.02439, -0.386427, -1.70557, GoToPosition
2.02239, -0.400868, -1.70551, TurnToAngle
2.01843, -0.429838, -1.70545, Turn
2.01499, -0.454419, -1.66578, TurnToAngle
2.00626, -0.511437, -1.62537, Turn
2.00626, -0.511437, -1.62537, GoToPosition
2.00187, -0.569829, -1.5463, GoAhead
2.00122, -0.59343, -1.5463, GoToPosition
2.00194, -0.608328, -1.51074, GoAhead
2.00293, -0.622883, -1.50738, GoToPosition
2.0039, -0.637446, -1.50751, GoAhead
2.0039, -0.637446, -1.50757, GoToPosition
2.00576, -0.666626, -1.50763, GoAhead
2.00668, -0.681271, -1.50764, GoToPosition
2.00762, -0.695854, -1.50763, GoAhead
2.00946, -0.724991, -1.50767, GoAhead
2.01039, -0.739578, -1.50771, GoToPosition
2.01131, -0.754168, -1.50767, GoAhead
2.01314, -0.783348, -1.50767, GoToPosition
2.01314, -0.783348, -1.50767, GoAhead
2.0153, -0.817391, -1.50768, GoToPosition
2.01622, -0.831968, -1.50768, GoAhead
2.01622, -0.831968, -1.50768, GoToPosition
2.01715, -0.846556, -1.50769, GoAhead
2.01805, -0.861123, -1.50772, GoToPosition
2.01899, -0.875732, -1.50771, GoAhead
2.01991, -0.89034, -1.50769, GoToPosition
2.02082, -0.904903, -1.50773, GoAhead
2.02296, -0.938955, -1.50773, GoAhead
2.02509, -0.972961, -1.50774, GoToPosition
2.02724, -1.007, -1.50774, GoToPosition
2.02724, -1.007, -1.50774, GoAhead
2.02816, -1.02163, -1.50775, GoToPosition
2.02908, -1.03621, -1.50776, GoAhead
2.03032, -1.05569, -1.5078, Reaction Braitenberg
2.03124, -1.07027, -1.52202, Reaction Braitenberg
2.03232, -1.08417, -1.57666, GoToPosition
2.0346, -1.09291, -1.57666, GoAhead
2.03909, -1.10831, -1.69667, GoToPosition
2.03684, -1.13389, -1.71693, GoToPosition
2.03384, -1.15316, -1.71697, Turn
2.03167, -1.16759, -1.71642, GoToPosition
2.02924, -1.18379, -1.71608, TurnToAngle
2.02265, -1.22047, -1.67555, Turn
2.01457, -1.28786, -1.5848, GoAhead
2.01302, -1.31706, -1.51129, GoToPosition
2.01241, -1.34103, -1.50784, GoAhead
2.01427, -1.37536, -1.50804, GoAhead
2.01615, -1.40457, -1.50813, GoAhead
2.01826, -1.4386, -1.50816, GoToPosition
2.01917, -1.45318, -1.50818, GoAhead
2.02007, -1.46778, -1.50819, GoToPosition
2.02097, -1.48236, -1.50818, GoAhead
2.02097, -1.48236, -1.5082, GoToPosition
2.0222, -1.50181, -1.50815, TurnToAngle
2.02404, -1.53099, -1.50814, Turn
2.02404, -1.53099, -1.50812, GoToPosition
2.02507, -1.54745, -1.5089, TurnToAngle
2.02825, -1.58392, -1.55168, Turn
2.03066, -1.65069, -1.59173, GoAhead
2.02831, -1.70266, -1.71995, GoAhead
2.02112, -1.75092, -1.72219, GoAhead
2.0189, -1.76539, -1.72216, GoToPosition
2.01594, -1.78467, -1.72216, GoAhead
2.01374, -1.79911, -1.72217, GoToPosition
2.01153, -1.81356, -1.72213, GoAhead
2.00639, -1.84727, -1.72214, TurnToAngle
1.99794, -1.90063, -1.71838, TurnToAngle
1.99794, -1.90063, -1.68209, TurnToAngle
1.99264, -1.92829, -1.62781, Turn
1.98699, -1.96581, -1.59013, Reaction Braitenberg
1.98453, -1.98655, -1.56695, Reaction Braitenberg
1.98594, -1.9064, -1.57441, TurnToAngle
1.98745, -1.87508, -1.58034, GoToPosition
1.98774, -1.84623, -1.58016, TurnToAngle
1.98244, -1.78869, -1.52402, GoToPosition
1.98387, -1.77063, -1.58095, GoToPosition
1.98862, -1.76704, -1.68779, TurnToAngle
1.99439, -1.76771, -1.81687, Turn
2.00579, -1.77097, -2.08088, TurnToAngle
2.01252, -1.77511, -2.25908, Turn
2.01622, -1.77981, -2.39046, GoToPosition
2.01935, -1.78476, -2.51892, TurnToAngle
2.02233, -1.80154, -2.7479, TurnToAngle
2.02318, -1.80573, -2.89248, Turn
2.02318, -1.80573, -2.98911, Turn
2.02295, -1.81447, 3.09802, TurnToAngle
2.02185, -1.81815, 3.01431, Turn
2.01965, -1.82174, 2.92881, GoToPosition
2.01584, -1.82837, 2.76039, Turn
2.015, -1.83018, 2.62433, TurnToAngle
2.0124, -1.83572, 2.52347, Turn
2.01088, -1.83799, 2.46336, GoToPosition
2.00949, -1.84018, 2.46336, TurnToAngle
2.00694, -1.84366, 2.41362, Turn
2.00472, -1.84474, 2.31171, GoAhead
1.97374, -1.8123, 2.22447, TurnToAngle
1.96452, -1.80004, 2.21877, Turn
1.94571, -1.77516, 2.21905, GoToPosition
1.92958, -1.7526, 2.24474, TurnToAngle
1.91212, -1.72865, 2.28479, Turn
1.91212, -1.72865, 2.28479, GoToPosition
1.90015, -1.71328, 2.35532, GoAhead
1.86172, -1.66915, 2.39834, GoAhead
1.81969, -1.6301, 2.44767, GoAhead
1.81215, -1.6239, 2.44742, GoToPosition
1.80091, -1.61457, 2.44729, GoAhead
1.78968, -1.60524, 2.44724, GoToPosition
1.77845, -1.59589, 2.44724, GoAhead
1.76723, -1.58655, 2.44721, GoToPosition
1.756, -1.57719, 2.4472, GoAhead
1.74479, -1.56786, 2.44716, GoToPosition
1.74479, -1.56786, 2.44716, GoAhead
1.71631, -1.54416, 2.44715, GoAhead
1.71969, -1.54545, 2.48068, GoToPosition
1.71903, -1.54283, 2.51727, GoAhead
1.70905, -1.53473, 2.52994, GoAhead
1.6971, -1.52643, 2.52961, GoToPosition
1.68512, -1.51813, 2.52931, TurnToAngle
1.67713, -1.51259, 2.52915, Turn
1.64473, -1.49006, 2.52427, Reaction Braitenberg
1.62581, -1.47793, 2.49424, Reaction Braitenberg
1.61659, -1.47114, 2.50006, Reaction Braitenberg
1.60828, -1.45943, 2.61913, GoToPosition
1.60828, -1.45943, 2.61913, TurnToAngle
1.60119, -1.45409, 2.64445, Turn
1.58653, -1.44408, 2.66989, GoToPosition
1.58653, -1.44408, 2.69565, TurnToAngle
1.57848, -1.44133, 2.66928, Reaction Braitenberg
1.57795, -1.44282, 2.638, GoToPosition
1.57446, -1.44052, 2.65033, TurnToAngle
1.56764, -1.43504, 2.69043, Turn
1.56051, -1.42957, 2.73283, GoToPosition
1.55571, -1.42619, 2.7311, TurnToAngle
1.54985, -1.42703, 2.7311, Turn
1.54828, -1.43122, 2.63736, TurnToAngle
1.54732, -1.43348, 2.5354, Turn
1.5462, -1.43551, 2.5354, GoToPosition
1.54503, -1.43735, 2.48301, TurnToAngle
1.54382, -1.43909, 2.38579, TurnToAngle
1.54382, -1.43909, 2.38579, Turn
1.54259, -1.44063, 2.33954, GoToPosition
1.54018, -1.44133, 2.23986, GoAhead
1.52761, -1.42897, 2.2012, GoToPosition
1.51017, -1.40852, 2.1967, Reaction Braitenberg
1.50113, -1.39612, 2.20669, Reaction Braitenberg
1.49174, -1.38236, 2.23254, Reaction Braitenberg
1.48245, -1.36647, 2.2584, Reaction Braitenberg
1.47746, -1.35875, 2.28409, Reaction Braitenberg
1.47228, -1.35112, 2.30955, Reaction Braitenberg
1.47865, -1.34737, 2.46959, Reaction Braitenberg
1.48359, -1.34726, 2.5383, Reaction Braitenberg
1.48687, -1.3471, 2.58391, GoToPosition
1.49051, -1.34581, 2.64985, TurnToAngle
1.46564, -1.32849, 2.77915, TurnToAngle
1.44456, -1.32057, 2.77805, Turn
1.42598, -1.31474, 2.751, GoToPosition
1.40031, -1.30575, 2.70743, GoToPosition
1.39501, -1.30598, 2.64763, TurnToAngle
1.39501, -1.30598, 2.64763, TurnToAngle
1.39438, -1.30737, 2.61331, Turn
1.39356, -1.30953, 2.56052, Reaction Braitenberg
1.39311, -1.31088, 2.52904, Reaction Braitenberg
1.39144, -1.3099, 2.52735, Reaction Braitenberg
1.38152, -1.30009, 2.59055, GoToPosition
1.36804, -1.28803, 2.67524, TurnToAngle
1.36085, -1.28247, 2.71828, Turn
1.35337, -1.27722, 2.75998, Reaction Braitenberg
1.34824, -1.27394, 2.78435, Reaction Braitenberg
1.34824, -1.27394, 2.78435, Reaction Braitenberg
1.3442, -1.27205, 2.80161, Reaction Braitenberg
1.3421, -1.27083, 2.8577, Reaction Braitenberg
1.3344, -1.26583, 2.91517, Reaction Braitenberg
1.32101, -1.25798, 2.95398, Reaction Braitenberg
1.30464, -1.25052, 3.07057, Reaction Braitenberg
1.29651, -1.24752, 3.07057, Reaction Braitenberg
1.28776, -1.2451, 3.1293, GoToPosition
1.27851, -1.24307, -3.09556, TurnToAngle
1.26342, -1.24105, -2.99789, GoToPosition
1.25677, -1.24369, -2.94085, Turn
1.25679, -1.24686, -2.9882, GoToPosition
1.25693, -1.25032, -3.06036, TurnToAngle
1.25693, -1.25032, -3.13592, Turn
1.25718, -1.25581, 3.02198, TurnToAngle
